hour,altitude (m)
6.52,566.666666666667
6.6,566.666666666667
6.68,566.666666666667
6.76,540
6.84,506.666666666667
6.92,506.666666666667
7,506.666666666667
7.08,506.666666666667
7.16,506.666666666667
7.264,506.666666666667
7.336,506.666666666667
7.416,506.666666666667
7.52,480
7.6,506.666666666667
7.68,506.666666666667
7.76,506.666666666667
7.88,506.666666666667
7.96,506.666666666667
8.04,506.666666666667
8.12,506.666666666667
8.2,506.666666666667
8.28,506.666666666667
8.36,506.666666666667
8.44,506.666666666667
8.52,506.666666666667
8.6,506.666666666667
8.68,506.666666666667
8.92,573.333333333334
9,573.333333333334
9.56,660
9.64,573.333333333334
9.72,540
9.8,540
10.2,693.333333333333
10.28,693.333333333333
10.36,660
10.44,660
10.64,693.333333333333
10.68,720
10.76,720
10.84,693.333333333333
10.92,693.333333333333
11,693.333333333333
11.12,693.333333333333
11.2,693.333333333333
11.28,693.333333333333
11.32,660
11.4,660
11.48,660
11.6,626.666666666667
11.68,626.666666666667
11.76,626.666666666667
11.88,626.666666666667
11.96,626.666666666667
12.04,626.666666666667
12.12,626.666666666667
12.2,660
12.28,720
12.36,720
12.44,660
12.52,640
12.6,660
12.68,660
12.76,660
12.84,693.333333333333
12.92,720
13,720
13.08,720
13.16,720
13.28,693.333333333333
13.36,693.333333333333
13.44,693.333333333333
13.52,720
13.6,720
13.64,720
13.68,720
13.76,720
13.84,720
13.96,720
14.04,720
14.12,753.333333333334
14.2,780
14.28,780
14.36,780
14.44,1080
14.52,1080
16.36,1080
16.44,933.333333333333
